Suomi,English
kuin,as
minä,i
hänen,his
että,that
hän,he
oli,was
varten,for
päälle,on
olemme,are
kanssa,with
ne,they
olla,be
klo,at
yksi,one
olla,have
tämä,this
alkaen,from
mukaan,by
kuuma,hot
sana,word
mutta,but
mitä,what
jotkut,some
on,is
se,it
sinua,you
tai,or
oli,had
päälle,the
jos,of
to,to
ja,and
tehdä,a
sisään,in
me,we
voida,can
ulos,out
muut,other
olivat,were
joka,which
tehdä,do
niiden,their
aika,time
jos,if
tahtoa,will
miten,how
sanoi,said
pieni,an
kukin,each
kertoa,tell
tekee,does
setti,set
kolme,three
haluta,want
ilma,air
hyvin,well
myös,also
pelata,play
pieni,small
pää,end
laittaa,put
koti,home
lue,read
käsi,hand
portti,port
suuri,large
oikeinkirjoituksen,spell
lisätä,add
jopa,even
maa,land
täällä,here
must,must
iso,big
korkea,high
niin,such
seurata,follow
säädös,act
miksi,why
kysyä,ask
miehet,men
muutos,change
meni,went
valo,light
kind,kind
pois,off
tarvitsevat,need
talo,house
kuva,picture
yrittää,try
meille,us
jälleen,again
eläin,animal
kohta,point
äiti,mother
maailma,world
lähellä,near
rakentaa,build
itse,self
maa,earth
isä,father
kaikki,any
uusi,new
työ,work
osa,part
ottaa,take
saada,get
paikka,place
tehty,made
elää,live
jossa,where
jälkeen,after
takaisin,back
vähän,little
vain,only
pyöreä,round
mies,man
vuosi,year
tuli,came
show,show
joka,every
hyvä,good
minua,me
antaa,give
meidän,our
alle,under
nimi,name
hyvin,very
kautta,through
vain,just
lomake,form
virke,sentence
suuri,great
ajatella,think
sanoa,say
auttaa,help
alhainen,low
linja,line
erota,differ
vuoro,turn
syy,cause
paljon,much
tarkoittaa,mean
ennen,before
liikkua,move
oikea,right
poika,boy
vanha,old
liian,too
sama,same
hän,she
kaikki,all
siellä,there
kun,when
ylös,up
käyttää,use
sinun,your
tapa,way
noin,about
monet,many
sitten,then
niitä,them
kirjoittaa,write
olisi,would
kuten,like
niin,so
nämä,these
hänen,her
pitkä,long
tehdä,make
asia,thing
nähdä,see
häntä,him
kaksi,two
on,has
katso,look
lisää,more
päivä,day
voisi,could
mennä,go
tulevat,come
teki,did
numero,number
ääni,sound
ei,no
eniten,most
ihmiset,people
minun,my
yli,over
tietää,know
vesi,water
kuin,than
puhelu,call
ensimmäinen,first
jotka,who
saattaa,may
alas,down
puoli,side
ollut,been
nyt,now
löytää,find
pää,head
seistä,stand
oma,own
sivu,page
pitäisi,should
maa,country
löytyi,found
vastaus,answer
koulu,school
kasvaa,grow
tutkimus,study
vielä,still
oppia,learn
kasvi,plant
kansi,cover
ruoka,food
aurinko,sun
neljä,four
välillä,between
valtio,state
pitää,keep
silmä,eye
ei koskaan,never
viime,last
antaa,let
ajatus,thought
kaupunki,city
puu,tree
cross,cross
maatila,farm
kova,hard
alku,start
ehkä,might
tarina,story
saha,saw
pitkälle,far
meri,sea
piirtää,draw
vasen,left
myöhään,late
run,run
eivät,don’t
taas,while
lehdistö,press
lähellä,close
yö,night
todellinen,real
elämä,life
harvat,few
pohjoiseen,north
kirja,book
kuljettaa,carry
otti,took
tiede,science
syödä,eat
huone,room
ystävä,friend
alkoi,began
idea,idea
kala,fish
vuori,mountain
lopettaa,stop
kerran,once
pohja,base
kuulla,hear
hevonen,horse
leikkaus,cut
varma,sure
katsella,watch
väri,color
kasvot,face
puu,wood
tärkein,main
avoin,open
näyttää,seem
yhdessä,together
seuraava,next
valkoinen,white
lapset,children
alkaa,begin
sai,got
kävellä,walk
esimerkiksi,example
helppous,ease
paperi,paper
ryhmä,group
aina,always
musiikki,music
ne,those
molemmat,both
merkki,mark
usein,often
kirje,letter
saakka,until
maili,mile
joki,river
auto,car
jalat,feet
hoito,care
toinen,second
tarpeeksi,enough
tavallinen,plain
tyttö,girl
tavallinen,usual
nuori,young
valmis,ready
edellä,above
koskaan,ever
punainen,red
lista,list
vaikka,though
tuntea,feel
puhua,talk
lintu,bird
pian,soon
elin,body
koira,dog
perhe,family
suora,direct
aiheuttaa,pose
jätä,leave
laulu,song
mitata,measure
ovi,door
tuote,product
musta,black
lyhyt,short
numero,numeral
luokka,class
tuuli,wind
kysymys,question
tapahtua,happen
täydellinen,complete
laiva,ship
alue,area
puoli,half
kallio,rock
järjestys,order
palo,fire
etelään,south
ongelma,problem
pala,piece
kertoi,told
tiesi,knew
kulkea,pass
koska,since
alkuun,top
koko,whole
kuningas,king
katu,street
tuuma,inch
lisääntyä,multiply
ei mitään,nothing
kurssi,course
pysyä,stay
pyörä,wheel
täysi,full
voima,force
sininen,blue
esine,object
päättää,decide
pinta,surface
syvä,deep
moon,moon
saari,island
jalka,foot
järjestelmä,system
kiireinen,busy
testi,test
ennätys,record
veneen,boat
yhteinen,common
kulta,gold
mahdollinen,possible
kone,plane
sijaansa,stead
kuiva,dry
ihme,wonder
nauraa,laugh
tuhatta,thousand
sitten,ago
juoksi,ran
tarkistaa,check
peli,game
muoto,shape
rinnastaa,equate
neiti,miss
toi,brought
lämpö,heat
lumi,snow
rengas,tire
tuoda,bring
kyllä,yes
kaukainen,distant
täyttää,fill
itään,east
maali,paint
kieli,language
keskuudessa,among
yksikkö,unit
voima,power
kaupunki,town
hieno,fine
tietty,certain
lentää,fly
pudota,fall
johtaa,lead
itkeä,cry
pimeä,dark
kone,machine
huomautus,note
odottaa,wait
suunnitelma,plan
kuva,figure
tähti,star
laatikko,box
substantiivi,noun
kenttä,field
levätä,rest
oikea,correct
pystyy,able
punta,pound
tehty,done
kauneus,beauty
ajaa,drive
seisoi,stood
sisältävät,contain
etuosa,front
opettaa,teach
viikko,week
lopullinen,final
antoi,gave
vihreä,green
oi,oh
nopea,quick
kehittää,develop
valtameri,ocean
lämmin,warm
vapaa,free
minuutti,minute
vahva,strong
erityistä,special
mieli,mind
takana,behind
selkeä,clear
pyrstö,tail
tuottaa,produce
tosiasia,fact
tilaa,space
kuuli,heard
paras,best
tunti,hour
parempi,better
totta,true
aikana,during
sata,hundred
viisi,five
muistaa,remember
vaihe,step
varhainen,early
pidä,hold
länsi,west
maa,ground
etua,interest
tavoittaa,reach
nopeasti,fast
verbi,verb
laulaa,sing
kuunnella,listen
kuusi,six
taulukko,table
matkailu,travel
vähemmän,less
aamu,morning
kymmenen,ten
yksinkertainen,simple
useat,several
vokaali,vowel
kohti,toward
sota,war
asettaa,lay
vastaan,against
kuvio,pattern
hidas,slow
keskus,center
rakkaus,love
henkilö,person
raha,money
palvella,serve
ilmestyä,appear
tie,road
kartta,map
sade,rain
sääntö,rule
säätelevät,govern
vetää,pull
kylmä,cold
huomautus,notice
ääni,voice
energia,energy
metsästää,hunt
todennäköinen,probable
sängyssä,bed
veli,brother
muna,egg
ratsastaa,ride
solu,cell
uskoa,believe
ehkä,perhaps
poimia,pick
äkillinen,sudden
luottaa,count
neliö,square
syy,reason
pituus,length
edustaa,represent
taide,art
aihe,subject
alue,region
koko,size
vaihdella,vary
asettua,settle
puhua,speak
paino,weight
yleinen,general
jää,ice
asia,matter
ympyrä,circle
pari,pair
sisältävät,include
kahtiajaon,divide
tavu,syllable
huopa,felt
suuri,grand
pallo,ball
vielä,yet
aalto,wave
pudota,drop
sydän,heart
am,am
nykyinen,present
raskas,heavy
tanssi,dance
moottori,engine
asema,position
varsi,arm
leveä,wide
purje,sail
materiaali,material
osa,fraction
metsä,forest
istua,sit
kilpailu,race
ikkuna,window
myymälä,store
kesä,summer
juna,train
uni,sleep
todistaa,prove
yksinäinen,lone
jalka,leg
liikunta,exercise
seinä,wall
saalis,catch
mount,mount
toivottaa,wish
taivas,sky
lauta,board
ilo,joy
talvi,winter
kyll,sat
kirjallinen,written
villi,wild
väline,instrument
säilytettävä,kept
lasi,glass
ruoho,grass
lehmä,cow
työ,job
reuna,edge
merkki,sign
vierailun,visit
ohi,past
pehmeä,soft
hauskaa,fun
kirkas,bright
kaasu,gas
sää,weather
kuukausi,month
miljoona,million
bear,bear
viimeistely,finish
onnellinen,happy
toivottavasti,hope
kukka,flower
vaatettaa,clothe
outo,strange
poissa,gone
kauppa,trade
melodia,melody
matka,trip
toimisto,office
vastaanottaa,receive
rivi,row
suu,mouth
tarkka,exact
symboli,symbol
die,die
vähiten,least
ongelmia,trouble
huutaa,shout
paitsi,except
kirjoitti,wrote
siemen,seed
sävy,tone
yhtyä,join
ehdottaa,suggest
puhtaita,clean
tauko,break
lady,lady
piha,yard
nousta,rise
huono,bad
puhallus,blow
öljy,oil
veri,blood
koskettaa,touch
kasvoi,grew
sentti,cent
sekoittaa,mix
joukkue,team
lanka,wire
kustannukset,cost
menetetty,lost
ruskea,brown
kuluminen,wear
puutarha,garden
yhtäläinen,equal
lähetetty,sent
valita,choose
laski,fell
sovittaa,fit
virtaus,flow
oikeudenmukainen,fair
pankki,bank
kerätä,collect
tallentaa,save
ohjaus,control
desimaalin,decimal
korva,ear
muu,else
melko,quite
rikkoi,broke
asia,case
keskellä,middle
tappaa,kill
poika,son
järvi,lake
hetki,moment
asteikko,scale
äänekäs,loud
kevät,spring
tarkkailla,observe
lapsi,child
suora,straight
konsonantti,consonant
kansakunta,nation
sanakirja,dictionary
maito,milk
nopeus,speed
menetelmä,method
urut,organ
maksaa,pay
ikä,age
jakso,section
mekko,dress
pilvi,cloud
yllätys,surprise
hiljainen,quiet
kivi,stone
pikkuruinen,tiny
kiivetä,climb
viileä,cool
suunnittelu,design
kehno,poor
paljon,lot
kokeilu,experiment
pohja,bottom
avain,key
rauta,iron
single,single
stick,stick
tasainen,flat
kaksikymmentä,twenty
iho,skin
hymy,smile
prässi,crease
reikä,hole
hyppy,jump
vauva,baby
kahdeksan,eight
kylä,village
tavata,meet
juuri,root
ostaa,buy
nostaa,raise
ratkaista,solve
metalli,metal
onko,whether
push,push
seitsemän,seven
kohta,paragraph
kolmas,third
on,shall
held,held
hiukset,hair
kuvata,describe
kokki,cook
lattia,floor
jompikumpi,either
tulos,result
polttaa,burn
mäki,hill
turvallinen,safe
kissa,cat
luvulla,century
harkita,consider
tyyppi,type
laki,law
bitti,bit
rannikolla,coast
kopio,copy
lause,phrase
hiljainen,silent
pitkä,tall
hiekka,sand
maaperä,soil
rulla,roll
lämpötila,temperature
sormi,finger
teollisuus,industry
arvo,value
taistelu,fight
valhe,lie
voittaa,beat
kiihottaa,excite
luonnollinen,natural
näkymä,view
merkityksessä,sense
pääoma,capital
eivät,won’t
tuoli,chair
vaara,danger
hedelmät,fruit
rikas,rich
paksu,thick
sotilas,soldier
prosessi,process
toimivat,operate
käytäntö,practice
erillinen,separate
vaikea,difficult
lääkäri,doctor
olkaa hyvä,please
suojella,protect
keskipäivällä,noon
kasvuston,crop
nykyaikainen,modern
elementti,element
osuma,hit
opiskelija,student
kulma,corner
puolue,party
tarjonta,supply
joiden,whose
paikantaa,locate
rengas,ring
merkki,character
hyönteinen,insect
kiinni,caught
aika,period
osoittaa,indicate
radio,radio
puhui,spoke
atomi,atom
ihmisen,human
historia,history
vaikutus,effect
sähköinen,electric
odottaa,expect
luu,bone
kisko,rail
kuvitella,imagine
antaa,provide
suostua,agree
näin,thus
lempeä,gentle
nainen,woman
kapteeni,captain
arvata,guess
välttämätön,necessary
teräviä,sharp
siipi,wing
luoda,create
naapuri,neighbor
pesu,wash
lepakko,bat
pikemminkin,rather
väkijoukko,crowd
maissi,corn
vertaa,compare
runo,poem
string,string
soittokello,bell
riippua,depend
liha,meat
hieroa,rub
putki,tube
kuuluisa,famous
dollari,dollar
virta,stream
pelko,fear
näky,sight
ohut,thin
kolmio,triangle
planeetta,planet
kiire,hurry
päällikkö,chief
siirtomaa,colony
kello,clock
mine,mine
sitoa,tie
astua,enter
merkittävä,major
tuore,fresh
haku,search
lähettää,send
keltainen,yellow
gun,gun
sallia,allow
painatus,print
kuollut,dead
paikka,spot
aavikko,desert
puku,suit
nykyinen,current
hissi,lift
rose,rose
saapua,arrive
mestari,master
raita,track
vanhempi,parent
rannikko,shore
jako,division
arkki,sheet
aine,substance
suosia,favor
kytkeä,connect
virka,post
viettää,spend
sointu,chord
rasva,fat
iloinen,glad
alkuperäinen,original
osake,share
asema,station
isä,dad
leipä,bread
veloittaa,charge
oikea,proper
bar,bar
tarjous,offer
segmentti,segment
orja,slave
ankka,duck
välitön,instant
markkinat,market
aste,degree
asuttaa,populate
poikasen,chick
rakas,dear
vihollinen,enemy
vastata,reply
juoma,drink
esiintyä,occur
tuki,support
puhe,speech
luonto,nature
alue,range
höyry,steam
motion,motion
polku,path
neste,liquid
loki,log
tarkoitti,meant
osamäärä,quotient
hampaat,teeth
kuori,shell
niska,neck
happi,oxygen
sokeri,sugar
kuolema,death
aika,pretty
taito,skill
naiset,women
kausi,season
ratkaisu,solution
magneetti,magnet
hopea,silver
kiitos,thank
sivuliike,branch
ottelu,match
pääte,suffix
erityisesti,especially
viikuna,fig
peloissaan,afraid
valtava,huge
sisko,sister
teräs,steel
keskustella,discuss
eteenpäin,forward
samankaltainen,similar
opas,guide
kokemus,experience
pisteet,score
omena,apple
ostivat,bought
led,led
piki,pitch
takki,coat
massa,mass
kortti,card
bändi,band
köysi,rope
lipsahdus,slip
voittaa,win
unelma,dream
ilta,evening
ehto,condition
rehu,feed
työkalu,tool
yhteensä,total
perus,basic
haju,smell
laakso,valley
eikä myöskään,nor
kaksinkertainen,double
istuin,seat
jatkaa,continue
lohko,block
kaavio,chart
hattu,hat
myydä,sell
menestys,success
yritys,company
vähentää,subtract
tapahtuma,event
erityinen,particular
sopimus,deal
uida,swim
termi,term
päinvastainen,opposite
vaimo,wife
kenkä,shoe
olkapää,shoulder
leviäminen,spread
järjestää,arrange
leiri,camp
keksiä,invent
puuvilla,cotton
born,born
määrittää,determine
gallona,quart
yhdeksän,nine
truck,truck
melu,noise
taso,level
mahdollisuus,chance
kerätä,gather
kauppa,shop
venyttää,stretch
heittää,throw
paistaa,shine
omaisuus,property
sarake,column
molekyyli,molecule
valita,select
väärä,wrong
harmaa,gray
toistaa,repeat
vaatia,require
laaja,broad
valmistella,prepare
suola,salt
nenä,nose
monikko,plural
viha,anger
vaatimus,claim
maanosa,continent
kyky,ability
väärinkäyttö,abuse
hyväksyä,accept
pääsy,access
saavuttaa,achieve
tunnustaa,acknowledge
hankkia,acquire
poikki,across
toimia,act
toiminta,action
toiminta,activity
itse asiassa,actually
sopeutua,adapt
säätää,adjust
hallinto,administration
ihailla,admire
myöntää,admit
adoptoida,adopt
jumaloida,adore
aikuinen,adult
etukäteen,advance
vaikuttaa,affect
olla varaa,afford
uudelleen,again
virasto,agency
olla samaa mieltä,agree
ilmaa,air
melkein,almost
pitkin,along
jo,already
siitä huolimatta,although
joukossa,among
määrä,amount
analyysi,analysis
suututtaa,anger
toinen,another
ketään,anyone
mitä tahansa,anything
pyydä anteeksi,apologize
,read also:  play vocabulary quiz
vetoomus,appeal
ilmestyvät,appear
käytä,apply
arvostaa,appreciate
lähestyä,approach
hyväksyä,approve
alueella,area
väitellä,argue
nousta,arise
noin,around
artikla,article
taiteilija,artist
avustaa,assist
kumppani,associate
olettaa,assume
vakuuttaa,assure
liittää,attach
hyökkäys,attack
yrittää,attempt
osallistua,attend
huomio,attention
vetää puoleensa,attract
kirjoittaja,author
saatavilla,available
välttää,avoid
pois,away
leipoa,bake
saldo,balance
taistelu,battle
karhu,bear
lyödä,beat
kaunis,beautiful
koska,because
tulla,become
sänky,bed
käyttäytymistä,behavior
oleminen,being
usko,believe
kuulua,belong
mutka,bend
hyötyä,benefit
parhaat,best
paremmin,better
pidemmälle,beyond
syyttää,blame
verta,blood
isku,blow
aluksella,board
vartalo,body
syntynyt,born
lainata,borrow
harjata,brush
rakennus,building
räjähtää,burst
liiketoimintaa,business
kamera,camera
kampanjaan,campaign
peruuttaa,cancel
ehdokas,candidate
ura,career
kantaa,carry
tapaus,case
käteinen raha,cash
saada kiinni,catch
juhlia,celebrate
keskusta,center
vuosisadalla,century
varma,certain
haaste,challenge
muuttaa,change
lataa,charge
,read also:  learn more vocabulary
kartoittaa,chart
valinta,choice
väittää,claim
puhdas,clean
asia selvä,clear
kiinni,close
college,college
väri-,color
yhdistää,combine
tule,come
komento,command
kommentti,comment
yleinen,common
kommunikoida,communicate
yhteisö,community
yhtiö,company
vertailla,compare
saattaa loppuun,complete
tietokone,computer
keskity,concentrate
koskea,concern
kunto,condition
konferenssi,conference
vahvistaa,confirm
konflikti,conflict
kongressi,congress
koostuvat,consist
kuulla,consult
ottaa yhteyttä,contact
sisältää,contain
sisältö,content
kilpailu,contest
osallistua,contribute
muuntaa,convert
vakuuttaa,convince
kustannus,cost
pari,couple
tuomioistuin,court
peite,cover
crack,crack
alus,craft
kaatua,crash
luotto,credit
miehistö,crew
rikos,crime
arvostella,criticize
ylittää,cross
kulttuuri,culture
käyrä,curve
sykli,cycle
vahingoittaa,damage
tumma,dark
tiedot,data
päivämäärä,date
keskustelu,debate
vuosikymmenen ajan,decade
päätös,decision
puolustus,defense
tutkinto,degree
viive,delay
toimittaa,deliver
kysyntä,demand
demokraatti,democrat
demokraattinen,democratic
kieltää,deny
riippuu,depend
ansaitse,deserve
design,design
himoita,desire
huolimatta,despite
tuhota,destroy
kehitystä,development
kuole,die
eri,different
suunta,direction
johtaja,director
kurinalaisuutta,discipline
alennus,discount
löytää,discover
sairaus,disease
näyttö,display
etäisyys,distance
jakaa,distribute
jakaa,divide
luonnos,draft
raahata,drag
pukeutua,dress
juoda,drink
huume,drug
jokainen,each
aikaisin,early
ansaita,earn
helppo,easy
talous,economy
koulutus,education
vaalit,election
käyttää,employ
kannustaa,encourage
loppuun,end
energiaa,energy
sitoutua,engage
parantaa,enhance
nauttia,enjoy
varmistaa,ensure
ympäristöön,environment
paeta,escape
essee,essay
perustaa,establish
arvio,estimate
kaikki,everybody
kaikki,everyone
kaikki,everything
todisteita,evidence
tarkalleen,exactly
tutkia,examine
esimerkki,example
vaihto,exchange
tekosyy,excuse
johtaja,executive
harjoittele,exercise
olla olemassa,exist
laajentaa,expand
kokea,experience
asiantuntija,expert
selittää,explain
tutkia,explore
paljastaa,expose
ilmaista,express
laajentaa,extend
tekijä,factor
epäonnistua,fail
liittovaltion-,federal
syöte,feed
muutama,few
ala,field
taistella,fight
elokuva,film
taloudellinen,financial
löytö,find
suorittaa loppuun,finish
antaa potkut,fire
yritys,firm
kalastaa,fish
sovi,fit
keskittyä,focus
taita,fold
seuraa,follow
ruokaa,food
pakottaa,force
unohtaa,forget
anna anteeksi,forgive
muodossa,form
entinen,former
runko,frame
jäädyttää,freeze
edessä,front
paistaa,fry
koko,full
rahoittaa,fund
tulevaisuudessa,future
saada,gain
aukko,gap
lasi-,glass
käsine,glove
päämäärä,goal
hallitus,government
loistava,great
maahan,ground
kasvu,growth
vartija,guard
arvaus,guess
ase,gun
kahva,handle
ripustaa,hang
vahingoittaa,harm
vihata,hate
terveyttä,health
lämpöä,heat
auta,help
epäröi,hesitate
piilottaa,hide
kohokohta,highlight
vuokraus,hire
toivoa,hope
sairaala,hospital
isäntä,host
tunnin,hour
satuttaa,hurt
aviomies,husband
tunnistaa,identify
jättää huomiotta,ignore
havainnollistaa,illustrate
kuva,image
vaikutus,impact
toteuttaa,implement
vihjata,imply
tärkeä,important
tehdä vaikutus,impress
parantaa,improve
sisältää,include
sisällyttää,incorporate
lisääntyä,increase
yksilöllinen,individual
ala,industry
vaikutus,influence
ilmoittaa,inform
tiedot,information
sisällä,inside
asentaa,install
sen sijaan,instead
instituutio,institution
kiinnostuksen kohde,interest
kansainvälinen,international
haastatella,interview
esitellä,introduce
sijoittaa,invest
tutkia,investigate
kutsua,invite
ottaa mukaan,involve
rauta-,iron
ongelma,issue
job,job
liittyä seuraan,join
vitsi,joke
tuomari,judge
hypätä,jump
potkia,kick
lapsi,kid
suudella,kiss
neuloa,knit
tietoa,knowledge
puute,lack
kestää,last
johtaja,leader
lähteä,leave
vasemmalle,left
laillista,legal
lainata,lend
,read also:  alphabets
elämää,life
raja,limit
huuli,lip
ladata,load
paikallinen,local
lukko,lock
tappio,loss
kadonnut,lost
matala,low
postitse,mail
ylläpitää,maintain
suuri,major
hallita,manage
johtaja,manager
valmistus,manufacturing
markkinoida,market
materiaalia,material
media,media
lääketieteellinen,medical
jäsen,member
muisti,memory
mainita,mention
viesti,message
armeija,military
virhe,mistake
malli-,model
suurin osa,most
elokuva,movie
musiikkia,music
on pakko,must
itse,myself
tarpeen,necessary
tarve,need
laiminlyödä,neglect
neuvotella,negotiate
hermo,nerve
verkkoon,network
ei milloinkaan,never
kiva,nice
yö-,night
pohjoinen,north
ei,not
merkintä,note
ilmoitus,notice
määrä,number
saada,obtain
avata,open
tilaisuus,opportunity
tilaus,order
järjestää,organize
ulkopuolella,outside
pakkaus,pack
kipu,pain
pysäköidä,park
juhla,party
potilas,patient
tauko,pause
rauhaa,peace
täydellinen,perfect
suorittaa,perform
kenties,perhaps
ajanjaksolla,period
lupa,permit
henkilökohtainen,personal
suostutella,persuade
puhelin,phone
fyysinen,physical
valita,pick
tappi,pin
tehdas,plant
lautanen,plate
ole kiltti,please
poliisi,police
käytäntö,policy
poliittinen,political
huono,poor
suosittu,popular
väestö,population
mahdollista,possible
lähettää,post
potti,pot
kaada,pour
tehoa,power
harjoitella,practice
mieluummin,prefer
esittää,present
paine,pressure
nätti,pretty
estää,prevent
hinta,price
ylpeys,pride
tulosta,print
yksityinen,private
todennäköisesti,probably
käsitellä asiaa,process
professori,professor
ohjelmoida,program
hanke,project
lupaus,promise
kehote,prompt
omaisuutta,property
ehdottaa,propose
tarjota,provide
julkinen,public
vedä,pull
booli,punch
ostaa,purchase
tarkoitus,purpose
jatkaa,pursue
työntää,push
laatu,quality
lopettaa,quit
rotu,race
valikoima,range
korko,rate
saavuttaa,reach
reagoida,react
lukea,read
tajuta,realize
todella,really
viimeaikainen,recent
äskettäin,recently
tunnistaa,recognize
suositella,recommend
toipua,recover
vähentää,reduce
viitata,refer
heijastaa,reflect
kieltäytyä,refuse
alueella,region
rekisteröi,register
pahoillani,regret
suhde,relationship
rentoutua,relax
vapauta,release
lievittää,relieve
jäädä jäljelle,remain
muistuttaa,remind
poista,remove
vuokrata,rent
korjaus,repair
korvata,replace
vastaa,reply
raportti,report
pyyntö,request
tutkimus,research
varata,reserve
vastustaa,resist
ratkaista,resolve
lomakeskus,resort
resurssi,resource
kunnioittaminen,respect
vastata,respond
vastaus,response
säilyttää,retain
jäädä eläkkeelle,retire
palata,return
paljastaa,reveal
arvostelu,review
palkinto,reward
oikein,right
riski,risk
rock,rock
rooli,role
juosta,run
kiire,rush
purjehtia,sail
näkymä,scene
naarmu,scratch
käsikirjoitus,script
hae,search
turvallisuus,security
etsiä,seek
näyttävät,seem
valitse,select
järkeä,sense
sarja,series
vakava,serious
palvelu,service
aseta,set
useita,several
ravista,shake
,read also:  common sentences
jaa,share
alus,ship
shokki,shock
ampua,shoot
näytä,show
suihku,shower
puolella,side
merkittävä,significant
samankaltaisia,similar
yksittäinen,single
sivusto,site
tilanne,situation
nukkua,sleep
viipale,slice
dia,slide
savu,smoke
sosiaalinen,social
yhteiskuntaa,society
jonkin verran,some
jotain,something
joskus,sometimes
järjestellä,sort
lähde,source
erityinen,special
erityinen,specific
loitsu,spell
henki,spirit
huolimatta,spite
jakaa,split
urheilu,sport
paikalla,spot
spray,spray
levitän,spread
vakaa,stable
henkilökunta,staff
vaiheessa,stage
standardi,standard
alkaa,start
lausunto,statement
askel,step
tikku,stick
edelleen,still
varastossa,stock
rasitusta,strain
strategia,strategy
lakko,strike
merkkijono,string
nauha,strip
aivohalvaus,stroke
rakenne,structure
kamppailu,struggle
tavaraa,stuff
tyyli,style
lähetä,submit
yhtäkkiä,suddenly
kärsiä,suffer
toimittaa,supply
olettaa,suppose
ympäröi,surround
kysely,survey
epäilty,suspect
vaihtaa,switch
pöytä,table
säiliö,tank
napauta,tap
maku,taste
verottaa,tax
opettaja,teacher
tiimi,team
repiä,tear
tekniikkaa,technology
televisio,television
taipumus,tend
testata,test
teksti,text
kiittää,thank
teoria,theory
ajattelin,thought
tuhat,thousand
tänään,today
kosketus,touch
kiertue,tour
käydä kauppaa,trade
perinteinen,traditional
liikennettä,traffic
kouluttaa,train
koulutus,training
kääntää,translate
roskakoriin,trash
matkustaa,travel
kohdella,treat
hoitoon,treatment
oikeudenkäynti,trial
luottamus,trust
totuus,truth
kierre,twist
alla,under
ymmärtää,understand
siihen asti kun,until
päälle,upon
poissa tolaltaan,upset
yleensä,usually
tyhjiö,vacuum
vierailla,visit
odota,wait
herätä,wake
seinään,wall
varoittaa,warn
pestä,wash
jätettä,waste
vettä,water
ase,weapon
pitää päällä,wear
tehdä työtä,work
maailman,world
huoli,worry
kääri,wrap
joo,yes
